,r0,r1,r2,r3,r4,p0,p1,p2,p3,rate
100,[H][H],[NH2],[O],,,O,[H],[NH],,4709354923118.516
101,[H][H],O[O],[N]=O,,,O,[H],[O][N][O],,246706939473.21518
102,[H][H],[NH2],[N]=O,,,O,[H],[N][NH],,35756685812.521545
103,[H][H],N=O,[N]=O,,,O,[H],[N]O[N],,59611374028.09642
104,[H][H],N=O,[O],,,O,[H],[N]=O,,4818934348405.282
105,[H][H],[N][NH],[O],,,O,[H],N#N,,14422307520.068401
106,[H][H],[O],,,,O,[H],,,47623044108002.21
107,[H][H],N,[O],,,O,[H],[NH2],,1871270035161.4202
108,[H][H],[N]O[N],,,,O,N#N,,,260708033367.64426
109,[H],[NH][NH],[O],,,O,[N][NH],,,4270584006.3566117
110,[H],OO,,,,O,,,,10556863327.129023
111,[H],[NH],[O],,,O,[N],,,72220736508.6109
112,[H],[N]=O,,,,O,[N],,,45049273690.107635
113,[H],O[O],,,,O,,,,360613775271.5445
114,[H],[NH2],[O],,,O,[NH],,,196336619459.04413
115,[H],O[O],[N]=O,,,O,[O][N][O],,,10285401564.33631
116,[H],[NH2],[N]=O,,,O,[N][NH],,,1490723661.7538269
117,[H],N=O,[N]=O,,,O,[N]O[N],,,2485243913.243821
118,[H],N=O,[O],,,O,[N]=O,,,200905069761.53738
119,[O],[H][H],,,,O,,,,1985441242199.3618
120,[H],N,[O],,,O,[NH2],,,78014683283.90715
121,[H],[N]O[N],,,,O,N#N,,,10869117909.533867
122,[NH],[NH][NH],[O],,,[N],O,[N][NH],,1570897589.6129568
123,[NH],OO,,,,[N],O,,,3883251360.8855557
124,[NH],[O],,,,[N],O,,,26565776655.50684
125,[NH],[N]=O,[H],,,[N],O,,,16570987796.579844
126,[NH],O[O],[H],,,[N],O,,,132648675102.07074
127,[NH2],[O],,,,[N],O,,,72220736508.61092
128,[NH],O[O],[N]=O,,,[N],O,[O][N][O],,3783396486.65561
129,[NH],N=O,[O],,,[N],O,[N]=O,,73901201652.90292
130,[NH],[H][H],[O],,,[N],O,[H],,730327481451.4182
131,[NH],N,[O],,,[N],O,[NH2],,28697030135.150627
132,[NH],[N]O[N],[H],,,[N],O,N#N,,3998111522.895073
133,[NH],[O],,,,[H],N=O,[N],,3595831765.495436
134,[NH],[N]=O,,,,N=O,[N],,,2242979193.7676067
135,[NH],O[O],,,,N=O,,,,17954766606.984764
136,[NH2],[O],,,,[H],N=O,,,9775495060.15692
137,[NH],[O],,,,[H],[N]=O,,,10002955752.347918
138,[NH],O=O,,,,[H],N=O,[N]=O,,3595831765.495436
139,[NH],[NH2],O=O,,,[H],N=O,,,8343604490.542993
140,[NH],O=O,,,,N=O,[O],,,9775495060.15692
141,[NH],[H][H],[O],,,[H],N=O,,,98854055391.33432
142,[NH],N,[O],,,[H],N=O,[NH2],,3884309270.2868204
143,NN,OO,,,,N[NH],O,,,2042385588.6385634
144,NN,[NH],[O],,,N[NH],O,[N],,13972198642.28021
145,NN,[H],[N]=O,,,N[NH],O,[N],,8715466375.970612
146,NN,[H],O[O],,,N[NH],O,,,69766213207.1426
147,NN,[O],[NH2],,,N[NH],O,[NH],,37984301745.64149
148,NN,O[O],[N]=O,,,N[NH],O,[O][N][O],,1989867186.6270986
149,NN,N=O,[O],,,N[NH],O,[N]=O,,38868137859.74993
150,NN,[NH],O=O,,,N[NH],O,[N]=O,,13972198642.28021
151,NN,N,[O],,,N[NH],O,[NH2],,15093125666.578638
152,NN,[N]O[N],[H],,,N[NH],O,N#N,,2102795981.321316
153,N=O,[NH][NH],[O],,,[N]=O,O,[N][NH],,4369953909.176662
154,N=O,OO,,,,[N]=O,O,,,10802505253.699234
155,N=O,[NH],[O],,,[N]=O,O,[N],,73901201652.90291
156,N=O,[H],,,,O,[N],,,46097500804.25331
157,N=O,[H],O[O],,,[N]=O,O,,,369004701606.4362
158,N=O,[O],[NH2],,,[N]=O,O,[NH],,200905069761.53735
159,N=O,O[O],,,,O,[O][N][O],,,10524726994.392714
160,N=O,[NH2],,,,O,[N][NH],,,1525410502.0500338
161,N=O,,,,,O,[N]O[N],,,2543071705.830403
162,N=O,[O],,,,[N]=O,O,,,205579820856.12863
163,N=O,[O],[H][H],,,[N]=O,O,[H],,2031639397533.2944
164,N=O,N,[O],,,[N]=O,O,[NH2],,79829964632.99661
165,N=O,[N]O[N],[H],,,[N]=O,O,N#N,,11122025518.610853
166,[NH][NH],[NH],[O],,,[N][NH],O,[N],,2357901116.0953426
167,[NH][NH],[H],[N]=O,,,[N][NH],O,[N],,1470792709.2452803
168,[NH][NH],[H],O[O],,,[N][NH],O,,,11773510826.641172
169,[NH][NH],[O],[NH2],,,[N][NH],O,[NH],,6410102645.487006
170,[NH][NH],N=O,[O],,,[N][NH],O,[N]=O,,6559255847.016466
171,[NH][NH],[NH],O=O,,,[N][NH],O,[N]=O,,2357901116.0953426
172,[NH][NH],[NH2],O=O,,,[N][NH],O,N=O,,5471166512.652134
173,[NH][NH],[H],O=O,,,[N][NH],O,[O],,6410102645.487006
174,[NH][NH],[O],[H][H],,,[N][NH],O,[H],,64821744380.375084
175,[NH][NH],N,[O],,,[N][NH],O,[NH2],,2547064979.9454317
176,[NH][NH],,,,,O,[N][NH],,,4270584006.3566117
177,OO,,,,,[O],O,,,10556863327.129023
178,[NH],,,,,O,[N],,,72220736508.6109
179,[N]=O,[H],,,,[O],O,[N],,45049273690.107635
180,O[O],[H],,,,[O],O,,,360613775271.5445
181,[NH2],,,,,O,[NH],,,196336619459.04413
182,O[O],[N]=O,,,,[O],O,[O][N][O],,10285401564.33631
183,[NH2],[N]=O,,,,[O],O,[N][NH],,1490723661.7538269
184,N=O,[N]=O,,,,[O],O,[N]O[N],,2485243913.243821
185,N=O,,,,,O,[N]=O,,,200905069761.53738
186,[H][H],,,,,O,[H],,,1985441242199.3618
187,N,,,,,O,[NH2],,,78014683283.90715
188,[N]O[N],[H],,,,[O],O,N#N,,10869117909.533867
189,N,[NH][NH],[O],,,[NH2],O,[N][NH],,4270584006.3566117
190,N,OO,,,,[NH2],O,,,10556863327.129023
191,N,[NH],[O],,,[NH2],O,[N],,72220736508.6109
192,N,[H],[N]=O,,,[NH2],O,[N],,45049273690.107635
193,N,[H],O[O],,,[NH2],O,,,360613775271.5445
194,N,[O],,,,O,[NH],,,196336619459.04413
195,N,O[O],[N]=O,,,[NH2],O,[O][N][O],,10285401564.33631
196,N,[N]=O,,,,O,[N][NH],,,1490723661.7538269
197,N,N=O,[N]=O,,,[NH2],O,[N]O[N],,2485243913.243821
198,N,N=O,[O],,,[NH2],O,[N]=O,,200905069761.53738
199,N,[O],[H][H],,,[NH2],O,[H],,1985441242199.3618
